index,drawing_id,category,prompt_id,input_mode,gpt_model,prediction,normalized_prediction,is_correct,match_reason,timestamp
0,unknown_0,airplane,zero_simple,image,gpt-4o,pocket knife,pocket knife,False,none,2025-08-04T14:29:22.909448
1,unknown_1,axe,zero_simple,image,gpt-4o,axe,axe,True,exact,2025-08-04T14:29:23.501400
2,unknown_2,baseball bat,zero_simple,image,gpt-4o,exclamation mark,exclamation mark,False,none,2025-08-04T14:29:25.047244
3,unknown_3,book,zero_simple,image,gpt-4o,open book,open book,True,phrase,2025-08-04T14:29:26.014701
4,unknown_4,bucket,zero_simple,image,gpt-4o,cowboy hat,cowboy hat,False,none,2025-08-04T14:29:27.073746
5,unknown_5,cat,zero_simple,image,gpt-4o,cat face,cat face,True,phrase,2025-08-04T14:29:27.735076
6,unknown_6,cloud,zero_simple,image,gpt-4o,cloud,cloud,True,exact,2025-08-04T14:29:28.560128
7,unknown_7,diamond,zero_simple,image,gpt-4o,steak,steak,False,none,2025-08-04T14:29:29.636254
8,unknown_8,envelope,zero_simple,image,gpt-4o,envelope,envelope,True,exact,2025-08-04T14:29:31.258769
9,unknown_9,finger,zero_simple,image,gpt-4o,mountain range,mountain range,False,none,2025-08-04T14:29:31.874459
10,unknown_10,hammer,zero_simple,image,gpt-4o,hammer,hammer,True,exact,2025-08-04T14:29:32.768056
11,unknown_11,hot dog,zero_simple,image,gpt-4o,hot dog,hot dog,True,exact,2025-08-04T14:29:33.513845
12,unknown_12,knife,zero_simple,image,gpt-4o,fist raised,fist raised,False,none,2025-08-04T14:29:34.196667
13,unknown_13,light bulb,zero_simple,image,gpt-4o,mushroom,mushroom,False,none,2025-08-04T14:29:34.867950
14,unknown_14,mountain,zero_simple,image,gpt-4o,line graph,line graph,False,none,2025-08-04T14:29:35.806634
15,unknown_15,nose,zero_simple,image,gpt-4o,sock,sock,False,none,2025-08-04T14:29:36.490583
16,unknown_16,pants,zero_simple,image,gpt-4o,leg,leg,False,none,2025-08-04T14:29:37.160692
17,unknown_17,pencil,zero_simple,image,gpt-4o,pencil,pencil,True,exact,2025-08-04T14:29:41.579608
18,unknown_18,postcard,zero_simple,image,gpt-4o,envelope,envelope,False,none,2025-08-04T14:29:42.483215
19,unknown_19,rainbow,zero_simple,image,gpt-4o,rainbow,rainbow,True,exact,2025-08-04T14:29:43.182016
20,unknown_20,shoe,zero_simple,image,gpt-4o,airplane tail,airplane tail,False,none,2025-08-04T14:29:44.060209
21,unknown_21,snake,zero_simple,image,gpt-4o,snake,snake,True,exact,2025-08-04T14:29:44.557495
22,unknown_22,square,zero_simple,image,gpt-4o,bucket,bucket,False,none,2025-08-04T14:29:45.171342
23,unknown_23,sun,zero_simple,image,gpt-4o,sun,sun,True,exact,2025-08-04T14:29:45.682282
24,unknown_24,tent,zero_simple,image,gpt-4o,tent,tent,True,exact,2025-08-04T14:29:47.311626
25,unknown_25,tree,zero_simple,image,gpt-4o,tree,tree,True,exact,2025-08-04T14:29:47.919286
26,unknown_26,vase,zero_simple,image,gpt-4o,vase with flower,vase with flower,True,phrase,2025-08-04T14:29:48.721696
27,unknown_27,zigzag,zero_simple,image,gpt-4o,mountain range,mountain range,False,none,2025-08-04T14:29:50.284641
